========================================================================================Rover 1.0 201221
Voltage:  15.9
Standby
hdg:   0, bias:  98
{v   0}
msg: 09:36:16.550{LT21.9017}
msg: 09:36:16.561{LN7.1744}
msg: 09:36:16.568{LA241}
{lt  0.79}
msg: 09:36:17.559{LT21.9064}
msg: 09:36:17.569{LN7.1870}
msg: 09:36:17.577{LA241}
{lt  0.79}
msg: 09:36:18.569{LT21.9118}
msg: 09:36:18.580{LN7.1964}
msg: 09:36:18.587{LA241}
{lt  0.79}
msg: 09:36:19.579{LT21.9172}
msg: 09:36:19.589{LN7.2000}
msg: 09:36:19.596{LA241}
{lt  0.79}
msg: 09:36:20.587{LT21.9197}
msg: 09:36:20.598{LN7.2011}
msg: 09:36:20.605{LA241}
{lt  0.79}
msg: 09:36:21.596{LT21.9208}
msg: 09:36:21.607{LN7.2047}
msg: 09:36:21.614{LA241}
{lt  0.79}
msg: 09:36:22.609{LT21.9204}
msg: 09:36:22.618{LN7.2083}
msg: 09:36:22.625{LA241}
{lt  0.79}
msg: 09:36:23.618{LT21.9193}
msg: 09:36:23.628{LN7.2126}
msg: 09:36:23.635{LA241}
{lt  0.79}
msg: 09:36:24.627{LT21.9182}
msg: 09:36:24.638{LN7.2162}
msg: 09:36:24.645{LA241}
{lt  0.79}
msg: 09:36:25.636{LT21.9168}
msg: 09:36:25.647{LN7.2202}
msg: 09:36:25.654{LA241}
{lt  0.79}
msg: 09:36:26.646{LT21.9179}
msg: 09:36:26.656{LN7.2216}
msg: 09:36:26.663{LA241}
{lt  0.79}
msg: 09:36:27.656{LT21.9190}
msg: 09:36:27.667{LN7.2194}
msg: 09:36:27.674{LA241}
{lt  0.79}
msg: 09:36:28.665{LT21.9215}
msg: 09:36:28.674{LN7.2140}
